"","x","y","chl"
"1",-180,50,0.291470557451248
"2",-179.75,50,0.296776860952377
"3",-179.5,50,0.29735255241394
"4",-179.25,50,0.297816008329391
"5",-179,50,0.296085000038147
"6",-178.75,50,0.294603675603867
"7",-178.5,50,0.291373074054718
"8",-178.25,50,0.277979224920273
"9",-178,50,0.261317431926727
"10",-177.75,50,0.255135059356689
"11",-177.5,50,0.252982527017593
"12",-177.25,50,0.25212100148201
"13",-177,50,0.25189220905304
"14",-176.75,50,0.251779735088348
"15",-176.5,50,0.251952320337296
"16",-176.25,50,0.252317637205124
"17",-176,50,0.252357929944992
"18",-175.75,50,0.251739114522934
"19",-175.5,50,0.251250714063644
"20",-175.25,50,0.251869887113571
"21",-175,50,0.252796530723572
"22",-174.75,50,0.253724217414856
"23",-174.5,50,0.254112869501114
"24",-174.25,50,0.25424200296402
"25",-174,50,0.254920542240143
"26",-173.75,50,0.256709724664688
"27",-173.5,50,0.278953611850739
"28",-173.25,50,0.377783060073853
"29",-173,50,0.465364992618561
"30",-172.75,50,0.472671777009964
"31",-172.5,50,0.472915351390839
"32",-172.25,50,0.479291647672653
"33",-172,50,0.492058724164963
"34",-171.75,50,0.504831373691559
"35",-171.5,50,0.497802406549454
"36",-171.25,50,0.49240830540657
"37",-171,50,0.495015621185303
"38",-170.75,50,0.495753914117813
"39",-170.5,50,0.49511843919754
"40",-170.25,50,0.498509049415588
"41",-170,50,0.506157100200653
"42",-169.75,50,0.522540748119354
"43",-169.5,50,0.56846696138382
"44",-169.25,50,0.624012351036072
"45",-169,50,0.658083140850067
"46",-168.75,50,0.669007778167725
"47",-168.5,50,0.658066630363464
"48",-168.25,50,0.627531766891479
"49",-168,50,0.554554760456085
"50",-167.75,50,0.465007394552231
"51",-167.5,50,0.421784520149231
"52",-167.25,50,0.370605200529099
"53",-167,50,0.343831062316895
"54",-166.75,50,0.328262001276016
"55",-166.5,50,0.32913064956665
"56",-166.25,50,0.334273368120193
"57",-166,50,0.347064942121506
"58",-165.75,50,0.365072786808014
"59",-165.5,50,0.363770008087158
"60",-165.25,50,0.350649207830429
"61",-165,50,0.340650200843811
"62",-164.75,50,0.312441557645798
"63",-164.5,50,0.294737577438354
"64",-164.25,50,0.284831404685974
"65",-164,50,0.29047155380249
"66",-163.75,50,0.298911392688751
"67",-163.5,50,0.300824701786041
"68",-163.25,50,0.301251471042633
"69",-163,50,0.294688552618027
"70",-162.75,50,0.281517893075943
"71",-162.5,50,0.279823422431946
"72",-162.25,50,0.281677424907684
"73",-162,50,0.282438427209854
"74",-161.75,50,0.282350659370422
"75",-161.5,50,0.285113662481308
"76",-161.25,50,0.283048808574677
"77",-161,50,0.278555274009705
"78",-160.75,50,0.274369746446609
"79",-160.5,50,0.270962744951248
"80",-160.25,50,0.282179236412048
"81",-160,50,0.365148633718491
"82",-159.75,50,0.440411061048508
"83",-159.5,50,0.437419980764389
"84",-159.25,50,0.404088824987411
"85",-159,50,0.385946899652481
"86",-158.75,50,0.376753687858582
"87",-158.5,50,0.364696890115738
"88",-158.25,50,0.337356239557266
"89",-158,50,0.294348210096359
"90",-157.75,50,0.271098405122757
"91",-157.5,50,0.268958538770676
"92",-157.25,50,0.273352712392807
"93",-157,50,0.277162551879883
"94",-156.75,50,0.273186028003693
"95",-156.5,50,0.270492047071457
"96",-156.25,50,0.270896285772324
"97",-156,50,0.27311834692955
"98",-155.75,50,0.274194449186325
"99",-155.5,50,0.273514151573181
"100",-155.25,50,0.272947251796722
"101",-155,50,0.275468021631241
"102",-154.75,50,0.277146011590958
"103",-154.5,50,0.280902057886124
"104",-154.25,50,0.284378319978714
"105",-154,50,0.276815146207809
"106",-153.75,50,0.27724814414978
"107",-153.5,50,0.281919598579407
"108",-153.25,50,0.281797170639038
"109",-153,50,0.28033122420311
"110",-152.75,50,0.27884566783905
"111",-152.5,50,0.277214646339417
"112",-152.25,50,0.276326239109039
"113",-152,50,0.275593400001526
"114",-151.75,50,0.276097416877747
"115",-151.5,50,0.276367336511612
"116",-151.25,50,0.276859730482101
"117",-151,50,0.276868879795074
"118",-150.75,50,0.276936560869217
"119",-150.5,50,0.276776790618896
"120",-150.25,50,0.275897890329361
"121",-150,50,0.274414271116257
"122",-149.75,50,0.273433685302734
"123",-149.5,50,0.27485391497612
"124",-149.25,50,0.278546333312988
"125",-149,50,0.279057145118713
"126",-148.75,50,0.277968674898148
"127",-148.5,50,0.276252895593643
"128",-148.25,50,0.27545440196991
"129",-148,50,0.275011420249939
"130",-147.75,50,0.275147825479507
"131",-147.5,50,0.27539587020874
"132",-147.25,50,0.274758338928223
"133",-147,50,0.275167852640152
"134",-146.75,50,0.276160925626755
"135",-146.5,50,0.276975899934769
"136",-146.25,50,0.276450842618942
"137",-146,50,0.274855256080627
"138",-145.75,50,0.273777008056641
"139",-145.5,50,0.274522483348846
"140",-145.25,50,0.274713635444641
"141",-145,50,0.274917125701904
"142",-144.75,50,0.275150924921036
"143",-144.5,50,0.275535136461258
"144",-144.25,50,0.275577574968338
"145",-144,50,0.274409502744675
"146",-143.75,50,0.273360997438431
"147",-143.5,50,0.273296684026718
"148",-143.25,50,0.274084389209747
"149",-143,50,0.27578204870224
"150",-142.75,50,0.276573568582535
"151",-142.5,50,0.276568979024887
"152",-142.25,50,0.276871055364609
"153",-142,50,0.27701124548912
"154",-141.75,50,0.277095913887024
"155",-141.5,50,0.276614487171173
"156",-141.25,50,0.276227533817291
"157",-141,50,0.276509195566177
"158",-140.75,50,0.277109861373901
"159",-140.5,50,0.27750289440155
